,,,LLEGADA_RELOJ,,,FIN_CONTROL_RELOJ,,,,,,,RESULTADO_DE_CONTROL,,EMPLEADO_1,,EMPLEADO_2,,EMPLEADO_3,,,,,,,Reloj_0,,Reloj_1,,Reloj_2,,Reloj_3,,Reloj_4,,Reloj_5,,Reloj_6,,Reloj_7,,Reloj_8,,Reloj_9,,Reloj_10,,Reloj_11,,Reloj_12,,Reloj_13,,Reloj_14,,Reloj_15,,Reloj_16,,Reloj_17,,Reloj_18,,Reloj_19,,Reloj_20,,Reloj_21,,Reloj_22,,Reloj_23,,Reloj_24,,Reloj_25,,Reloj_26,,Reloj_27,,Reloj_28,,Reloj_29,,Reloj_30,,Reloj_31,,Reloj_32,,Reloj_33,,Reloj_34,,Reloj_35,,Reloj_36,,Reloj_37,,Reloj_38,,Reloj_39,,Reloj_40,,Reloj_41,,Reloj_42,,Reloj_43,,Reloj_44,,Reloj_45,,Reloj_46,,Reloj_47,,Reloj_48,,Reloj_49,,Reloj_50,,Reloj_51,,Reloj_52,,Reloj_53,,Reloj_54,,Reloj_55,,Reloj_56,,Reloj_57,,Reloj_58,,Reloj_59,,Reloj_60,,Reloj_61,,Reloj_62,,Reloj_63,,Reloj_64,,Reloj_65,,Reloj_66,,Reloj_67,,Reloj_68,,Reloj_69,,Reloj_70,
29,LlegadaReloj,14.33,0.35,0.25,14.58,0.55,0.6,4.18,4.35,4.53,6.28,5.25,,,Ocupado,14.11,Ocupado,13.58,Ocupado,13.56,11,56.26999066591266,21,7,46.300000000000004,Fallado,0.08,OK,0.61,OK,0.64,OK,0.92,OK,2.01,Fallado,3.8,Siendo_Controlado_Emp3,5.18,OK,6.69,Siendo_Controlado_Emp2,7.03,Siendo_Controlado_Emp1,7.1,En_Cola,8.05,En_Cola,9.37,En_Cola,9.83,En_Cola,11.42,En_Cola,11.81,En_Cola,12.31,En_Cola,12.41,En_Cola,12.64,En_Cola,13.6,En_Cola,13.91,En_Cola,14.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,LlegadaReloj,14.58,0.92,1.51,16.09,0.55,0.6,4.18,4.35,4.53,6.28,5.25,,,Ocupado,14.36,Ocupado,13.83,Ocupado,13.81,12,59.01999150514606,22,7,46.300000000000004,Fallado,0.08,OK,0.61,OK,0.64,OK,0.92,OK,2.01,Fallado,3.8,Siendo_Controlado_Emp3,5.18,OK,6.69,Siendo_Controlado_Emp2,7.03,Siendo_Controlado_Emp1,7.1,En_Cola,8.05,En_Cola,9.37,En_Cola,9.83,En_Cola,11.42,En_Cola,11.81,En_Cola,12.31,En_Cola,12.41,En_Cola,12.64,En_Cola,13.6,En_Cola,13.91,En_Cola,14.33,En_Cola,14.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,FinControlReloj_9,14.75,,,16.09,0.38,0.86,5.17,4.34,4.53,6.28,5.25,0.32,OK,Ocupado,14.53,Ocupado,14,Ocupado,13.98,11,61.0599924206734,22,8,54.02,Fallado,0.08,OK,0.61,OK,0.64,OK,0.92,OK,2.01,Fallado,3.8,Siendo_Controlado_Emp3,5.18,OK,6.69,OK,7.03,Siendo_Controlado_Emp1,7.1,Siendo_Controlado_Emp2,8.05,En_Cola,9.37,En_Cola,9.83,En_Cola,11.42,En_Cola,11.81,En_Cola,12.31,En_Cola,12.41,En_Cola,12.64,En_Cola,13.6,En_Cola,13.91,En_Cola,14.33,En_Cola,14.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,FinControlReloj_7,15,,,16.09,0.38,0.86,5.17,4.34,4.53,6.28,5.25,0.77,Fallado,Ocupado,14.78,Ocupado,14.25,Ocupado,14.23,10,63.8099924206734,22,9,63.84,Fallado,0.08,OK,0.61,OK,0.64,OK,0.92,OK,2.01,Fallado,3.8,Fallado,5.18,OK,6.69,OK,7.03,Siendo_Controlado_Emp1,7.1,Siendo_Controlado_Emp2,8.05,Siendo_Controlado_Emp3,9.37,En_Cola,9.83,En_Cola,11.42,En_Cola,11.81,En_Cola,12.31,En_Cola,12.41,En_Cola,12.64,En_Cola,13.6,En_Cola,13.91,En_Cola,14.33,En_Cola,14.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,LlegadaReloj,16.09,0.03,0.01,16.1,0.38,0.86,5.17,4.34,4.53,6.28,5.25,,,Ocupado,15.86,Ocupado,15.33,Ocupado,15.31,11,74.7099924206734,23,9,63.84,Fallado,0.08,OK,0.61,OK,0.64,OK,0.92,OK,2.01,Fallado,3.8,Fallado,5.18,OK,6.69,OK,7.03,Siendo_Controlado_Emp1,7.1,Siendo_Controlado_Emp2,8.05,Siendo_Controlado_Emp3,9.37,En_Cola,9.83,En_Cola,11.42,En_Cola,11.81,En_Cola,12.31,En_Cola,12.41,En_Cola,12.64,En_Cola,13.6,En_Cola,13.91,En_Cola,14.33,En_Cola,14.58,En_Cola,16.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,LlegadaReloj,16.1,0.28,0.19,16.29,0.38,0.86,5.17,4.34,4.53,6.28,5.25,,,Ocupado,15.86,Ocupado,15.33,Ocupado,15.31,12,74.81999074220661,24,9,63.84,Fallado,0.08,OK,0.61,OK,0.64,OK,0.92,OK,2.01,Fallado,3.8,Fallado,5.18,OK,6.69,OK,7.03,Siendo_Controlado_Emp1,7.1,Siendo_Controlado_Emp2,8.05,Siendo_Controlado_Emp3,9.37,En_Cola,9.83,En_Cola,11.42,En_Cola,11.81,En_Cola,12.31,En_Cola,12.41,En_Cola,12.64,En_Cola,13.6,En_Cola,13.91,En_Cola,14.33,En_Cola,14.58,En_Cola,16.09,En_Cola,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,LlegadaReloj,16.29,0.9,1.38,17.66,0.38,0.86,5.17,4.34,4.53,6.28,5.25,,,Ocupado,16.04,Ocupado,15.51,Ocupado,15.49,13,77.09998616456988,25,9,63.84,Fallado,0.08,OK,0.61,OK,0.64,OK,0.92,OK,2.01,Fallado,3.8,Fallado,5.18,OK,6.69,OK,7.03,Siendo_Controlado_Emp1,7.1,Siendo_Controlado_Emp2,8.05,Siendo_Controlado_Emp3,9.37,En_Cola,9.83,En_Cola,11.42,En_Cola,11.81,En_Cola,12.31,En_Cola,12.41,En_Cola,12.64,En_Cola,13.6,En_Cola,13.91,En_Cola,14.33,En_Cola,14.58,En_Cola,16.09,En_Cola,16.1,En_Cola,16.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,LlegadaReloj,17.66,0.52,0.44,18.1,0.38,0.86,5.17,4.34,4.53,6.28,5.25,,,Ocupado,17.4,Ocupado,16.87,Ocupado,16.85,14,94.90997426271441,26,9,63.84,Fallado,0.08,OK,0.61,OK,0.64,OK,0.92,OK,2.01,Fallado,3.8,Fallado,5.18,OK,6.69,OK,7.03,Siendo_Controlado_Emp1,7.1,Siendo_Controlado_Emp2,8.05,Siendo_Controlado_Emp3,9.37,En_Cola,9.83,En_Cola,11.42,En_Cola,11.81,En_Cola,12.31,En_Cola,12.41,En_Cola,12.64,En_Cola,13.6,En_Cola,13.91,En_Cola,14.33,En_Cola,14.58,En_Cola,16.09,En_Cola,16.1,En_Cola,16.29,En_Cola,17.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,LlegadaReloj,18.1,0.6,0.54,18.64,0.38,0.86,5.17,4.34,4.53,6.28,5.25,,,Ocupado,17.84,Ocupado,17.31,Ocupado,17.29,15,101.0699763989449,27,9,63.84,Fallado,0.08,OK,0.61,OK,0.64,OK,0.92,OK,2.01,Fallado,3.8,Fallado,5.18,OK,6.69,OK,7.03,Siendo_Controlado_Emp1,7.1,Siendo_Controlado_Emp2,8.05,Siendo_Controlado_Emp3,9.37,En_Cola,9.83,En_Cola,11.42,En_Cola,11.81,En_Cola,12.31,En_Cola,12.41,En_Cola,12.64,En_Cola,13.6,En_Cola,13.91,En_Cola,14.33,En_Cola,14.58,En_Cola,16.09,En_Cola,16.1,En_Cola,16.29,En_Cola,17.66,En_Cola,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,FinControlReloj_10,18.56,,,18.64,0.64,0.31,4.48,5.59,4.53,6.28,5.25,0.27,OK,Ocupado,18.29,Ocupado,17.76,Ocupado,17.74,14,107.96997067689898,27,10,75.3,Fallado,0.08,OK,0.61,OK,0.64,OK,0.92,OK,2.01,Fallado,3.8,Fallado,5.18,OK,6.69,OK,7.03,OK,7.1,Siendo_Controlado_Emp2,8.05,Siendo_Controlado_Emp3,9.37,Siendo_Controlado_Emp1,9.83,En_Cola,11.42,En_Cola,11.81,En_Cola,12.31,En_Cola,12.41,En_Cola,12.64,En_Cola,13.6,En_Cola,13.91,En_Cola,14.33,En_Cola,14.58,En_Cola,16.09,En_Cola,16.1,En_Cola,16.29,En_Cola,17.66,En_Cola,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,LlegadaReloj,18.64,0.72,0.76,19.4,0.64,0.31,4.48,5.59,4.53,6.28,5.25,,,Ocupado,18.37,Ocupado,17.84,Ocupado,17.82,15,109.08997815370563,28,10,75.3,Fallado,0.08,OK,0.61,OK,0.64,OK,0.92,OK,2.01,Fallado,3.8,Fallado,5.18,OK,6.69,OK,7.03,OK,7.1,Siendo_Controlado_Emp2,8.05,Siendo_Controlado_Emp3,9.37,Siendo_Controlado_Emp1,9.83,En_Cola,11.42,En_Cola,11.81,En_Cola,12.31,En_Cola,12.41,En_Cola,12.64,En_Cola,13.6,En_Cola,13.91,En_Cola,14.33,En_Cola,14.58,En_Cola,16.09,En_Cola,16.1,En_Cola,16.29,En_Cola,17.66,En_Cola,18.1,En_Cola,18.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,FinControlReloj_12,19.34,,,19.4,0.64,0.31,4.48,5.59,4.53,6.28,5.25,0.42,OK,Ocupado,19.07,Ocupado,18.54,Ocupado,18.52,14,119.58998730897906,28,11,85.27,Fallado,0.08,OK,0.61,OK,0.64,OK,0.92,OK,2.01,Fallado,3.8,Fallado,5.18,OK,6.69,OK,7.03,OK,7.1,Siendo_Controlado_Emp2,8.05,OK,9.37,Siendo_Controlado_Emp1,9.83,Siendo_Controlado_Emp3,11.42,En_Cola,11.81,En_Cola,12.31,En_Cola,12.41,En_Cola,12.64,En_Cola,13.6,En_Cola,13.91,En_Cola,14.33,En_Cola,14.58,En_Cola,16.09,En_Cola,16.1,En_Cola,16.29,En_Cola,17.66,En_Cola,18.1,En_Cola,18.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,LlegadaReloj,19.4,0.32,0.23,19.63,0.64,0.31,4.48,5.59,4.53,6.28,5.25,,,Ocupado,19.12,Ocupado,18.59,Ocupado,18.57,15,120.42998517274857,29,11,85.27,Fallado,0.08,OK,0.61,OK,0.64,OK,0.92,OK,2.01,Fallado,3.8,Fallado,5.18,OK,6.69,OK,7.03,OK,7.1,Siendo_Controlado_Emp2,8.05,OK,9.37,Siendo_Controlado_Emp1,9.83,Siendo_Controlado_Emp3,11.42,En_Cola,11.81,En_Cola,12.31,En_Cola,12.41,En_Cola,12.64,En_Cola,13.6,En_Cola,13.91,En_Cola,14.33,En_Cola,14.58,En_Cola,16.09,En_Cola,16.1,En_Cola,16.29,En_Cola,17.66,En_Cola,18.1,En_Cola,18.64,En_Cola,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,LlegadaReloj,19.63,0.57,0.5,20.13,0.64,0.31,4.48,5.59,4.53,6.28,5.25,,,Ocupado,19.35,Ocupado,18.82,Ocupado,18.8,16,123.87999089479446,30,11,85.27,Fallado,0.08,OK,0.61,OK,0.64,OK,0.92,OK,2.01,Fallado,3.8,Fallado,5.18,OK,6.69,OK,7.03,OK,7.1,Siendo_Controlado_Emp2,8.05,OK,9.37,Siendo_Controlado_Emp1,9.83,Siendo_Controlado_Emp3,11.42,En_Cola,11.81,En_Cola,12.31,En_Cola,12.41,En_Cola,12.64,En_Cola,13.6,En_Cola,13.91,En_Cola,14.33,En_Cola,14.58,En_Cola,16.09,En_Cola,16.1,En_Cola,16.29,En_Cola,17.66,En_Cola,18.1,En_Cola,18.64,En_Cola,19.4,En_Cola,19.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,FinControlReloj_11,19.92,,,20.13,0.02,0.52,4.68,4.78,4.53,6.28,5.25,0.8,Fallado,Ocupado,19.64,Ocupado,19.11,Ocupado,19.09,15,128.52000432252885,30,12,97.14,Fallado,0.08,OK,0.61,OK,0.64,OK,0.92,OK,2.01,Fallado,3.8,Fallado,5.18,OK,6.69,OK,7.03,OK,7.1,Fallado,8.05,OK,9.37,Siendo_Controlado_Emp1,9.83,Siendo_Controlado_Emp3,11.42,Siendo_Controlado_Emp2,11.81,En_Cola,12.31,En_Cola,12.41,En_Cola,12.64,En_Cola,13.6,En_Cola,13.91,En_Cola,14.33,En_Cola,14.58,En_Cola,16.09,En_Cola,16.1,En_Cola,16.29,En_Cola,17.66,En_Cola,18.1,En_Cola,18.64,En_Cola,19.4,En_Cola,19.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,LlegadaReloj,20.13,0.54,0.46,20.59,0.02,0.52,4.68,4.78,4.53,6.28,5.25,,,Ocupado,19.84,Ocupado,19.3,Ocupado,19.29,16,131.67000317811966,31,12,97.14,Fallado,0.08,OK,0.61,OK,0.64,OK,0.92,OK,2.01,Fallado,3.8,Fallado,5.18,OK,6.69,OK,7.03,OK,7.1,Fallado,8.05,OK,9.37,Siendo_Controlado_Emp1,9.83,Siendo_Controlado_Emp3,11.42,Siendo_Controlado_Emp2,11.81,En_Cola,12.31,En_Cola,12.41,En_Cola,12.64,En_Cola,13.6,En_Cola,13.91,En_Cola,14.33,En_Cola,14.58,En_Cola,16.09,En_Cola,16.1,En_Cola,16.29,En_Cola,17.66,En_Cola,18.1,En_Cola,18.64,En_Cola,19.4,En_Cola,19.63,En_Cola,20.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,LlegadaReloj,20.59,0.1,0.06,20.65,0.02,0.52,4.68,4.78,4.53,6.28,5.25,,,Ocupado,20.3,Ocupado,19.77,Ocupado,19.75,17,139.03001660585403,32,12,97.14,Fallado,0.08,OK,0.61,OK,0.64,OK,0.92,OK,2.01,Fallado,3.8,Fallado,5.18,OK,6.69,OK,7.03,OK,7.1,Fallado,8.05,OK,9.37,Siendo_Controlado_Emp1,9.83,Siendo_Controlado_Emp3,11.42,Siendo_Controlado_Emp2,11.81,En_Cola,12.31,En_Cola,12.41,En_Cola,12.64,En_Cola,13.6,En_Cola,13.91,En_Cola,14.33,En_Cola,14.58,En_Cola,16.09,En_Cola,16.1,En_Cola,16.29,En_Cola,17.66,En_Cola,18.1,En_Cola,18.64,En_Cola,19.4,En_Cola,19.63,En_Cola,20.13,En_Cola,20.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,LlegadaReloj,20.65,0.43,0.33,20.97,0.02,0.52,4.68,4.78,4.53,6.28,5.25,,,Ocupado,20.35,Ocupado,19.82,Ocupado,19.8,18,140.05001401185987,33,12,97.14,Fallado,0.08,OK,0.61,OK,0.64,OK,0.92,OK,2.01,Fallado,3.8,Fallado,5.18,OK,6.69,OK,7.03,OK,7.1,Fallado,8.05,OK,9.37,Siendo_Controlado_Emp1,9.83,Siendo_Controlado_Emp3,11.42,Siendo_Controlado_Emp2,11.81,En_Cola,12.31,En_Cola,12.41,En_Cola,12.64,En_Cola,13.6,En_Cola,13.91,En_Cola,14.33,En_Cola,14.58,En_Cola,16.09,En_Cola,16.1,En_Cola,16.29,En_Cola,17.66,En_Cola,18.1,En_Cola,18.64,En_Cola,19.4,En_Cola,19.63,En_Cola,20.13,En_Cola,20.59,En_Cola,20.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,LlegadaReloj,20.97,0.98,2.34,23.31,0.02,0.52,4.68,4.78,4.53,6.28,5.25,,,Ocupado,20.67,Ocupado,20.14,Ocupado,20.12,19,145.81002087831493,34,12,97.14,Fallado,0.08,OK,0.61,OK,0.64,OK,0.92,OK,2.01,Fallado,3.8,Fallado,5.18,OK,6.69,OK,7.03,OK,7.1,Fallado,8.05,OK,9.37,Siendo_Controlado_Emp1,9.83,Siendo_Controlado_Emp3,11.42,Siendo_Controlado_Emp2,11.81,En_Cola,12.31,En_Cola,12.41,En_Cola,12.64,En_Cola,13.6,En_Cola,13.91,En_Cola,14.33,En_Cola,14.58,En_Cola,16.09,En_Cola,16.1,En_Cola,16.29,En_Cola,17.66,En_Cola,18.1,En_Cola,18.64,En_Cola,19.4,En_Cola,19.63,En_Cola,20.13,En_Cola,20.59,En_Cola,20.65,En_Cola,20.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,FinControlReloj_13,23.04,,,23.31,0.02,0.52,4.68,4.78,4.53,6.28,5.25,0.04,OK,Ocupado,22.74,Ocupado,22.21,Ocupado,22.19,18,185.14003392457957,34,13,110.35,Fallado,0.08,OK,0.61,OK,0.64,OK,0.92,OK,2.01,Fallado,3.8,Fallado,5.18,OK,6.69,OK,7.03,OK,7.1,Fallado,8.05,OK,9.37,OK,9.83,Siendo_Controlado_Emp3,11.42,Siendo_Controlado_Emp2,11.81,Siendo_Controlado_Emp1,12.31,En_Cola,12.41,En_Cola,12.64,En_Cola,13.6,En_Cola,13.91,En_Cola,14.33,En_Cola,14.58,En_Cola,16.09,En_Cola,16.1,En_Cola,16.29,En_Cola,17.66,En_Cola,18.1,En_Cola,18.64,En_Cola,19.4,En_Cola,19.63,En_Cola,20.13,En_Cola,20.59,En_Cola,20.65,En_Cola,20.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,LlegadaReloj,23.31,0.76,0.85,24.16,0.02,0.52,4.68,4.78,4.53,6.28,5.25,,,Ocupado,23,Ocupado,22.47,Ocupado,22.45,19,190.00001744508737,35,13,110.35,Fallado,0.08,OK,0.61,OK,0.64,OK,0.92,OK,2.01,Fallado,3.8,Fallado,5.18,OK,6.69,OK,7.03,OK,7.1,Fallado,8.05,OK,9.37,OK,9.83,Siendo_Controlado_Emp3,11.42,Siendo_Controlado_Emp2,11.81,Siendo_Controlado_Emp1,12.31,En_Cola,12.41,En_Cola,12.64,En_Cola,13.6,En_Cola,13.91,En_Cola,14.33,En_Cola,14.58,En_Cola,16.09,En_Cola,16.1,En_Cola,16.29,En_Cola,17.66,En_Cola,18.1,En_Cola,18.64,En_Cola,19.4,En_Cola,19.63,En_Cola,20.13,En_Cola,20.59,En_Cola,20.65,En_Cola,20.97,En_Cola,23.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,LlegadaReloj,24.16,0.59,0.53,24.69,0.02,0.52,4.68,4.78,4.53,6.28,5.25,,,Ocupado,23.85,Ocupado,23.32,Ocupado,23.3,20,206.15002759218208,36,13,110.35,Fallado,0.08,OK,0.61,OK,0.64,OK,0.92,OK,2.01,Fallado,3.8,Fallado,5.18,OK,6.69,OK,7.03,OK,7.1,Fallado,8.05,OK,9.37,OK,9.83,Siendo_Controlado_Emp3,11.42,Siendo_Controlado_Emp2,11.81,Siendo_Controlado_Emp1,12.31,En_Cola,12.41,En_Cola,12.64,En_Cola,13.6,En_Cola,13.91,En_Cola,14.33,En_Cola,14.58,En_Cola,16.09,En_Cola,16.1,En_Cola,16.29,En_Cola,17.66,En_Cola,18.1,En_Cola,18.64,En_Cola,19.4,En_Cola,19.63,En_Cola,20.13,En_Cola,20.59,En_Cola,20.65,En_Cola,20.97,En_Cola,23.31,En_Cola,24.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,FinControlReloj_15,24.6,,,24.69,0.91,0.48,3.49,4.96,4.53,6.28,5.25,0.19,OK,Ocupado,24.29,Ocupado,23.76,Ocupado,23.74,19,214.95003064393993,36,14,123.14,Fallado,0.08,OK,0.61,OK,0.64,OK,0.92,OK,2.01,Fallado,3.8,Fallado,5.18,OK,6.69,OK,7.03,OK,7.1,Fallado,8.05,OK,9.37,OK,9.83,Siendo_Controlado_Emp3,11.42,OK,11.81,Siendo_Controlado_Emp1,12.31,Siendo_Controlado_Emp2,12.41,En_Cola,12.64,En_Cola,13.6,En_Cola,13.91,En_Cola,14.33,En_Cola,14.58,En_Cola,16.09,En_Cola,16.1,En_Cola,16.29,En_Cola,17.66,En_Cola,18.1,En_Cola,18.64,En_Cola,19.4,En_Cola,19.63,En_Cola,20.13,En_Cola,20.59,En_Cola,20.65,En_Cola,20.97,En_Cola,23.31,En_Cola,24.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
